date,stock_ret
2021-11-26,9.376289047131463
2021-11-29,9.314215602828543
2021-11-30,9.372237409062272
2021-12-01,9.497097757614492
2021-12-02,9.569714832575105
2021-12-03,9.892745736616272
2021-12-06,9.96405358139815
2021-12-07,10.05305756396896
2021-12-08,10.09681402150887
2021-12-09,10.2746021065369
2021-12-10,10.189089478618884
2021-12-13,10.278739961373953
2021-12-14,10.13075265057857
2021-12-15,10.248372220034208
2021-12-16,10.31823198651308
2021-12-17,10.323089633669351
2021-12-20,10.145801258435494
2021-12-21,10.204234404214716
2021-12-22,10.229757789348081
2021-12-23,10.473915258974559
2021-12-24,10.553057291839826
2021-12-27,10.614172196539013
2021-12-28,10.453389289613655
2021-12-29,10.447499004024102
2021-12-30,10.526926441479596
2021-12-31,10.797636018579713
2022-01-04,10.811703347973518
2022-01-05,10.883818971502716
2022-01-06,10.815577048996147
2022-01-07,10.9135102450172
2022-01-10,10.980297095926165
2022-01-11,10.959322008759885
2022-01-12,11.01875640143565
2022-01-13,11.082065995802617
2022-01-14,10.89536013669562
2022-01-17,10.92936147067972
2022-01-18,11.02752786737411
2022-01-19,11.02339952084775
2022-01-20,11.083916146371564
2022-01-21,11.121732992988424
2022-01-24,11.077611103351938
2022-01-25,11.115807632857319
2022-01-26,11.126416561682113
2022-01-27,10.98638842896511
2022-01-28,11.057579081403002
2022-02-07,11.224482688630117
2022-02-08,11.488169344933517
2022-02-09,11.446264366126787
2022-02-10,11.72649689222037
2022-02-11,11.705869616894853
2022-02-14,11.512530250293414
2022-02-15,11.310887204301912
2022-02-16,11.381268900606045
2022-02-17,11.244949890015958
2022-02-18,11.436757131793902
2022-02-21,11.42061425688273
2022-02-22,11.36216113777958
2022-02-23,11.3347786403048
2022-02-24,11.445637783740198
2022-02-25,11.391897177940974
2022-02-28,11.443906413989978
2022-03-01,11.44009136677369
2022-03-02,11.541162489375758
2022-03-03,11.818613611718293
2022-03-04,11.660488804945889
2022-03-07,11.484026919975232
2022-03-08,11.066735220362208
2022-03-09,10.983220440815087
2022-03-10,11.183876075293087
2022-03-11,11.211919578364618
2022-03-14,11.121689586772018
2022-03-15,10.66367859536943
2022-03-16,11.135686277067744
2022-03-17,11.13636127100494
2022-03-18,11.167961544775146
2022-03-21,11.28220336108928
2022-03-22,11.247464511270156
2022-03-23,11.156075843509907
2022-03-24,11.145004022704175
2022-03-25,11.009686719080047
2022-03-28,11.180316121008186
2022-03-29,11.291635551917757
2022-03-30,11.28387239961109
2022-03-31,11.204995547529006
2022-04-01,11.35226281431538
2022-04-06,11.523221654236288
2022-04-07,11.42679086586787
2022-04-08,11.568117277413709
2022-04-11,11.398116216960217
2022-04-12,11.559506980573047
2022-04-13,11.42722338347111
2022-04-14,11.585222095330753
2022-04-15,11.425776548103052
2022-04-18,11.168266955407503
2022-04-19,11.385228996802864
2022-04-20,11.251128476002345
2022-04-21,11.140000135023273
2022-04-22,11.368075388565265
2022-04-25,11.018547141309908
2022-04-26,11.050255203200225
2022-04-27,11.153693360150678
2022-04-28,11.325635287136409
2022-04-29,11.410369111449942
2022-05-05,11.53354597957073
2022-05-06,11.277123711319984
2022-05-09,11.298615739430428
2022-05-10,11.536627688667942
2022-05-11,11.525903378432774
2022-05-12,11.60592673388111
2022-05-13,11.8952101109623
2022-05-16,11.790965258572092
2022-05-17,11.77753727105825
2022-05-18,11.888353280369367
2022-05-19,12.122194293018294
2022-05-20,12.305122331103721
2022-05-23,12.35628565943548
2022-05-24,12.16722143683747
2022-05-25,12.450531490766446
2022-05-26,12.463044414472476
2022-05-27,12.392646224049235
2022-05-30,12.716210195115936
2022-05-31,12.824551609602713
2022-06-01,12.86105520576013
2022-06-02,13.116444851408852
2022-06-06,13.342532981750772
2022-06-07,13.284742317977111
2022-06-08,13.428041383859608
2022-06-09,13.512357339115967
2022-06-10,13.797258305864679
2022-06-13,13.805678907554597
2022-06-14,14.067785089135548
2022-06-15,14.37567118640997
2022-06-16,14.109504889096922
2022-06-17,14.235034077135738
2022-06-20,14.091050738849752
2022-06-21,14.0758818673045
2022-06-22,14.132953669567405
2022-06-23,14.610058115032857
2022-06-24,14.841843907874697
2022-06-27,14.968648054592197
2022-06-28,15.12984715058745
2022-06-29,14.700476236184024
2022-06-30,14.997234153926875
2022-07-01,14.948312309633437
2022-07-04,15.215494431482055
